cite,question_id,question,choices,answer,chapter
외국인이 한국에 체류하려면 어떻게 해야 할까? 한국에서는 한국을 소속 국가로 하지 않는 사람을 내국인과 구분하는 의미에서 외국인이라고 부른다.,710,한국에서 외국인이라고 부르는 사람은 누구를 의미하는가?,"1. 한국의 국민
2. 한국을 소속 국가로 하지 않는 사람
3. 한국에 거주하는 사람
4. 한국에 방문하는 모든 사람
",한국을 소속 국가로 하지 않는 사람,30.0
외국인은 한국에서 머무르는 기간에 따라 단기 체류자와 장기 체류자로 구분된다.,711,외국인은 어떤 기준으로 구분되는가?,"1. 국적에 따라
2. 나이에 따라
3. 한국에서 머무르는 기간에 따라
4. 성별에 따라
",한국에서 머무르는 기간에 따라,30.0
외국인이 입국한 날로부터 90일을 초과 하여 한국에 체류하려면 입국한 날로부터 90일 이내에 그 외국인이 체류하고 있는 관할 출입국관리사무소를 방문하여 외국인등록을 해야 한다.,712,외국인이 90일 이상 한국에 체류하려면 어떤 절차를 거쳐야 하는가?,"1. 외국인등록을 해야 한다
2. 한국 정부에 허가를 받아야 한다
3. 한국의 시민권을 얻어야 한다
4. 한국어 시험을 통과해야 한다
",외국인등록을 해야 한다,30.0
"한편, 일정한 자격을 갖춘 사람들은 영주권을 신청하여 기간 제한 없이 한국에 머무를 수 있다.",713,어떤 사람들이 기간 제한 없이 한국에 머무를 수 있는가?,"1. 일정한 자격을 갖춘 사람들
2. 한국의 국민
3. 한국에 투자한 사람들
4. 한국어를 유창하게 구사하는 사람들
",일정한 자격을 갖춘 사람들,30.0
비자(VISA)란? 한국에서 VISA는 법률 용어로는 ‘사증’ 으로 불린다.,714,한국에서 VISA는 어떤 용어로 불리는가?,"1. 여권
2. 사증
3. 체류증
4. 입국증
",사증,30.0
"외국인이 한국에 입국하기 위해서는 한국 정부의 허가를 받아야 하는데, 이를 증명하는 서류가 ‘사증’ 이다.",715,외국인이 한국에 입국하기 위해 필요한 서류는 무엇인가?,"1. 여권
2. 사증
3. 체류증
4. 입국증
",사증,30.0
대한민국에서는 외국인에게도 여러 가지 권리를 보장하고 있다.,716,대한민국에서 외국인에게 어떤 것을 보장하고 있는가?,"1. 여러 가지 권리
2. 한국 시민권
3. 한국어 교육
4. 무제한 체류 기간
",여러 가지 권리,30.0
"외국 국적자는 한국이 아닌 다른 나라의 국적을 가진 사람이고, 무국적자는 어떠한 국적도 갖지 않은 사람이다.",717,무국적자는 무엇을 의미하는가?,"1. 한국 국적을 가진 사람
2. 어떠한 국적도 갖지 않은 사람
3. 두 개 이상의 국적을 가진 사람
4. 외국 국적을 가진 사람
",어떠한 국적도 갖지 않은 사람,30.0
그리고 등록을 한 외국인이 체류지를 변경했을 경우에는 전입한 날로부터 14일 이내에 새로운 체류지의 관할 출입국관리사무소나 시·군·구청에 체류지 변경 신고를 해야 한다.,718,외국인이 체류지를 변경했을 경우 어떤 절차를 거쳐야 하는가?,"1. 체류지 변경 신고를 해야 한다
2. 외국인등록을 다시 해야 한다
3. 한국 정부에 허가를 받아야 한다
4. 새로운 비자를 발급받아야 한다
",체류지 변경 신고를 해야 한다,30.0
"예를 들면 대한민국에 5년 이상 체류하고 있는 자, 한국 국민의 배우자 또는 영주자격자의 배우자 및 미성년 자녀, 미국 달러 기준 50만 달러 이상을 투자한 외국인, 재외동포 체류자격 소지자, 첨단산업분야 박사학위 소지자, 첨단 산업분야 학사학위 및 자격증 소지자 등이다.",719,영주권을 신청할 수 있는 사람에는 어떤 사람들이 포함되는가?,"1. 한국에 5년 이상 체류하고 있는 사람, 한국 국민의 배우자, 50만 달러 이상을 투자한 외국인 등
2. 한국 국민
3. 한국에 거주하는 모든 외국인
4. 한국어를 유창하게 구사하는 사람
","한국에 5년 이상 체류하고 있는 사람, 한국 국민의 배우자, 50만 달러 이상을 투자한 외국인 등",30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",730,UN 아동권리위원회권고는 언제 제안되었나요?,"1. 2001년
2. 2002년
3. 2003년
4. 2004년
",2003년,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",731,UN 아동권리위원회권고에 따르면 어떤 권리가 보장되나요?,"1. 신체적 자유
2. 표현의 자유
3. 양육 받을 권리
4. 모두
",모두,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",732,UN 아동권리위원회권고에 따르면 부모가 합법체류자인 경우 아동은 어떤 권리를 가지나요?,"1. 양육 받을 권리
2. 가족 재결합의 권리
3. 노동 착취로부터 보호 받을 권리
4. 가족 재결합의 권리와 양육 받을 권리
",가족 재결합의 권리와 양육 받을 권리,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",733,UN 아동권리위원회권고에 따르면 아동은 어떤 환경으로부터 보호 받아야 하나요?,"1. 유해 환경
2. 자연 재해
3. 전쟁
4. 모든 환경
",유해 환경,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",734,UN 아동권리위원회권고에 따르면 아동은 무엇으로부터 보호 받아야 하나요?,"1. 노동 착취
2. 유해 환경
3. 차별
4. 모두
",모두,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",735,UN 아동권리위원회권고에 따르면 아동은 어떤 권리를 가지나요?,"1. 휴식·여가와 문화생활에 참여할 권리
2. 교육받을 권리
3. 차별받지 않을 권리
4. 모두
",모두,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",736,UN 아동권리위원회권고에 따르면 아동은 무엇에 참여할 권리가 있나요?,"1. 휴식·여가
2. 문화생활
3. 교육
4. 휴식·여가와 문화생활
",휴식·여가와 문화생활,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",737,UN 아동권리위원회권고에 따르면 아동은 어떤 권리를 가지나요?,"1. 교육받을 권리
2. 노동 착취로부터 보호 받을 권리
3. 차별받지 않을 권리
4. 모두
",모두,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",738,UN 아동권리위원회권고에 따르면 아동은 무엇으로부터 보호 받아야 하나요?,"1. 노동 착취
2. 유해 환경
3. 차별
4. 모두
",모두,30.0
"권리협약, UN 아동권리위원회권고(2003.1)에 따라 신체적 자유와 표현의 자유, 양육 받을 권리와 가족 재결합의 권리(부모가 합법체류자인 경우), 유해 환경으로부터 보호 받을 권리, 차별받지 않을 권리, 휴식·여가와 문화생활에 참여할 권리, 교육받을 권리, 노동 착취로부터 보호 받을 권리 등 여러 가지 권리를 보장받게 된다.",739,UN 아동권리위원회권고에 따르면 아동은 어떤 권리를 가지나요?,"1. 신체적 자유
2. 표현의 자유
3. 양육 받을 권리
4. 모두
",모두,30.0
"외국인의 정착을 돕는 한국의 법과 제도 한국 사회에는 외국인 근로자나 결혼이민자는 물론이고 교육이나 관광, 사업 등 다양한 이유로 한 국에 거주하는 외국인들의 숫자가 늘어나고 있다.",830,외국인들이 한국에 거주하는 이유는 무엇인가요?,"1. 근로
2. 결혼이민
3. 교육
4. 모두 맞음
",모두 맞음,31.0
대표적인 것이 바로 2007년에 제정된 재한외국인처우기본법이다.,831,재한외국인들의 인권을 보장하기 위해 제정된 법은 무엇인가요?,"1. 외국인근로자보호법
2. 외국인체류법
3. 재한외국인처우기본법
4. 외국인출입국관리법
",재한외국인처우기본법,31.0
"대표적으로 외국인들이 가장 큰 어려 움을 겪는 언어 문제를 해결하기 위해 법무부, 여성가족부, 고용노동부 등을 중심으로 다국어 전화상담서비스를 실시하고 있다.",832,외국인들이 한국에서 가장 큰 어려움으로 겪는 문제는 무엇인가요?,"1. 언어 문제
2. 문화 차이
3. 직업 찾기
4. 주거 문제
",언어 문제,31.0
또한 한국에서는 복지 정책의 하나로 긴급한 의료지원이 필요한 외국인근로자나 국적취득전의 결혼이민자 등을 위해 의료 지원 사업도 진행하고 있다.,833,한국에서는 어떤 외국인들에게 의료 지원 사업을 진행하고 있나요?,"1. 국적취득전의 결혼이민자
2. 외국인 근로자
3. 학생 비자를 가진 외국인
4. 국적취득전의 결혼이민자와 외국인 근로자
",국적취득전의 결혼이민자와 외국인 근로자,31.0
외국인 의료 지원의 경우 한국의 건강보험 등의 의료보장제도에 의해 의료혜택을 받을 수 없는 외국인들에게 1회 500만원 한도에서 입원부터 퇴원까지 총 진료비를 지원하여 최 소한의 건강한 삶을 보장받을 수 있도록 돕고 있다.,834,한국의 외국인 의료 지원은 어떤 형태로 이루어지나요?,"1. 의료비 전액 지원
2. 1회 500만원 한도의 진료비 지원
3. 의료보험 가입 지원
4. 병원 이용료 할인
",1회 500만원 한도의 진료비 지원,31.0
외국인을 위한 전자정부 한국에서는 국내에 거주하거나 방문하는 외국인을 위해 ‘외국인을 위한 전자정부 (http://www.hikorea.go.kr/)’를 운영하고 있다.,835,한국에서 외국인을 위해 운영하는 전자정부 웹사이트는 무엇인가요?,"1. www.hikorea.go.kr
2. www.foreign.go.kr
3. www.e-gov.kr
4. www.immigration.go.kr
",www.hikorea.go.kr,31.0
"이곳에서는 외국인에게 출입국, 투자, 노동 등의 생활편의 정보를 제공하고, 각종 민원을 인터넷을 통해 처리할 수 있도록 하 고 있다.",836,외국인을 위한 전자정부 웹사이트에서 제공하는 정보는 무엇인가요?,"1. 출입국 정보
2. 투자 정보
3. 노동 정보
4. 모두 맞음
",모두 맞음,31.0
특히 외국인들을 위한 각종 보험 가입이나 혜택은 물론 외국인을 고용하는 고,837,외국인을 위한 전자정부 웹사이트에서 제공하는 서비스 중 하나는 무엇인가요?,"1. 보험 가입
2. 혜택 제공
3. 외국인 고용 정보 제공
4. 모두 맞음
",모두 맞음,31.0
한국에서는 국내에 거주하거나 방문하는 외국인을 위해 ‘외국인을 위한 전자정부 (http://www.hikorea.go.kr/)’를 운영하고 있다.,840,한국에서는 외국인을 위해 어떤 웹사이트를 운영하고 있는가?,"1. 외국인을 위한 전자정부
2. 외국인을 위한 정보센터
3. 외국인을 위한 지원센터
4. 외국인을 위한 커뮤니티
",외국인을 위한 전자정부,31.0
외국인을 위한 전자정부를 통해 외국 인들도 한국 국민들과 대등한 수준의 정보화 혜택을 누릴 수 있을 것으로 기대된다.,841,외국인을 위한 전자정부를 통해 외국인들이 누릴 수 있는 혜택은 무엇인가?,"1. 정보화 혜택
2. 금융 혜택
3. 교육 혜택
4. 의료 혜택
",정보화 혜택,31.0
대표적으로 각 지방자치단체에서 외국인지원 협의 회를 운영하는 경우가 늘어나고 있다.,842,한국의 지방자치단체에서는 외국인을 지원하기 위해 어떤 회를 운영하고 있는가?,"1. 외국인지원 협의회
2. 외국인지원 커뮤니티
3. 외국인지원 센터
4. 외국인지원 네트워크
",외국인지원 협의회,31.0
외국인이 많이 거주하는 지역을 중심으로 외국인자율방범대를 운영하는데 많은 외국인이 참여하고 있다.,843,외국인이 많이 거주하는 지역에서는 어떤 조직을 운영하고 있는가?,"1. 외국인자율방범대
2. 외국인지원단
3. 외국인자원봉사단
4. 외국인문화교류단
",외국인자율방범대,31.0
한국에 거주하는 외국인들이 늘어나면서 외국인들이 특정 지역에 모여 있는 외국인 마을이 생겨나고 있다.,844,한국에 거주하는 외국인들이 늘어나면서 어떤 것이 생겨나고 있는가?,"1. 외국인 마을
2. 외국인 공동체
3. 외국인 센터
4. 외국인 네트워크
",외국인 마을,31.0
외국인 마을에서는 외국인들이 자신들의 문화를 유지하면서 한국 사회에 적응할 수 있도록 다양한 지원을 받고 있다.,845,외국인 마을에서는 외국인들이 어떤 것을 유지하면서 한국 사회에 적응할 수 있도록 도와주는가?,"1. 자신들의 문화
2. 자신들의 언어
3. 자신들의 신념
4. 자신들의 전통
",자신들의 문화,31.0
이를 통해 외국 인들은 단순히 지원을 받는 대상이 아니라 한국 사회의 책임 있는 구성원으로 자리 잡고 있다.,846,"한국에서의 외국인들은 단순히 어떤 대상이 아닌, 어떤 구성원으로 자리 잡고 있는가?","1. 지원을 받는 대상
2. 참여하는 대상
3. 관찰하는 대상
4. 학습하는 대상
",지원을 받는 대상,31.0
외국인자율방범대의 경우 외국인 들이 한국인 경찰관과 합동으로 지역을 순찰하고 외국인 관련 범죄나 분쟁 해결에 실질적인 도움을 주고 있다.,847,외국인자율방범대의 주요 활동은 무엇인가?,"1. 지역 순찰과 범죄나 분쟁 해결
2. 외국인 지원과 문화 교류
3. 외국인 교육과 직업 훈련
4. 외국인 건강 관리와 의료 서비스
",지역 순찰과 범죄나 분쟁 해결,31.0
특히 한국 문화를 잘 모르거나 의사 소통의 어려움으로 인해 범죄사건 등에서 어려움을 겪는 외국인들의 인권 보호에 기여한다는 점에서 의의가 있다.,848,외국인자율방범대의 활동이 외국인들의 어떤 것을 보호하는데 기여하고 있는가?,"1. 인권
2. 생활
3. 문화
4. 언어
",인권,31.0
"이러한 지원은 외국인들이 한국 사회에 더욱 빠르게 적응하고, 한국 사회와의 상호 이해를 증진하는 데 기여하고 있다.",849,외국인 마을에서 제공하는 지원이 한국 사회와 외국인 사이의 무엇을 증진하는데 기여하고 있는가?,"1. 상호 이해
2. 문화 교류
3. 경제 발전
4. 사회 통합
",상호 이해,31.0
들이 한국인 경찰관과 합동으로 지역을 순찰하고 외국인 관련 범죄나 분쟁 해결에 실질적인 도움을 주고 있다.,850,한국에서 외국인 관련 범죄나 분쟁 해결에 어떤 방식으로 도움을 주고 있는가?,"1. 외국인 경찰관이 한국인 경찰관과 합동으로 순찰하고 있다.
2. 외국인 경찰관이 독립적으로 순찰하고 있다.
3. 한국인 경찰관이 외국인 경찰관을 도와주고 있다.
4. 외국인 경찰관이 한국인 경찰관을 도와주고 있다.
",외국인 경찰관이 한국인 경찰관과 합동으로 순찰하고 있다.,31.0
한국의 외국인 마을 한국에 거주하는 외국인들이 늘어나면서 외국인들이 특정 지역에 모여 있는 외국인 마을도 늘어나고 있다.,851,한국에 거주하는 외국인들이 늘어나면서 어떤 현상이 발생하고 있는가?,"1. 외국인들이 한국을 떠나고 있다.
2. 외국인들이 한국에서 일을 찾고 있다.
3. 외국인들이 한국에서 학교를 다니고 있다.
4. 외국인들이 특정 지역에 모여 있는 외국인 마을이 늘어나고 있다.
",외국인들이 특정 지역에 모여 있는 외국인 마을이 늘어나고 있다.,31.0
"서울의 경우 구로구 가리봉동의 조선족 마을, 용산구 이태원동의 이슬람 마을, 서초구 방배동의 서래마을, 용산구 이촌동의 일본마을, 동대문구 광희동의 몽고마을 등이 대표적이다.",852,서울에서 대표적인 외국인 마을로 어떤 곳들이 있는가?,"1. 구로구 가리봉동의 조선족 마을, 용산구 이태원동의 이슬람 마을, 서초구 방배동의 서래마을, 용산구 이촌동의 일본마을, 동대문구 광희동의 몽고마을
2. 강남구 청담동의 미국인 마을, 종로구 이화동의 중국인 마을, 강서구 가양동의 베트남인 마을
3. 마포구 서교동의 프랑스인 마을, 성동구 성수동의 이탈리아인 마을, 강동구 천호동의 러시아인 마을
4. 송파구 잠실동의 캐나다인 마을, 도봉구 창동의 필리핀인 마을, 광진구 군자동의 인도인 마을
","구로구 가리봉동의 조선족 마을, 용산구 이태원동의 이슬람 마을, 서초구 방배동의 서래마을, 용산구 이촌동의 일본마을, 동대문구 광희동의 몽고마을",31.0
서울 외에도 경기도 안산의 국경 없는 마을과 인천의 차이나 타운 등을 들 수 있다.,853,서울 외에 어떤 지역에도 외국인 마을이 있는가?,"1. 경기도 안산의 국경 없는 마을과 인천의 차이나 타운
2. 부산의 러시아 마을과 대구의 베트남 마을
3. 광주의 미국 마을과 대전의 중국 마을
4. 제주도의 일본 마을과 울산의 필리핀 마을
",경기도 안산의 국경 없는 마을과 인천의 차이나 타운,31.0
외국인 마을의 증가는 외국인들이 한국 사회에 정착하고 한국 사회가 다문화 사회로 변해가고 있음을 잘 보여준다.,854,외국인 마을의 증가가 보여주는 한국 사회의 변화는 무엇인가?,"1. 한국 사회가 다문화 사회로 변해가고 있음
2. 한국 사회가 단일문화 사회로 변해가고 있음
3. 한국 사회가 외국인에게 불편한 사회로 변해가고 있음
4. 한국 사회가 외국인에게 친숙한 사회로 변해가고 있음
",한국 사회가 다문화 사회로 변해가고 있음,31.0
특히 한국 문화를 잘 모르거나 의사 소통의 어려움으로 인해 범죄사건 등에서 어려움을 겪는 외국인들의 인권 보호에 기여한다는 점에서 의의가 있다.,855,한국인 경찰관과 외국인 경찰관의 합동 순찰이 외국인들의 어떤 부분에 기여하고 있는가?,"1. 외국인들의 인권 보호
2. 외국인들의 경제적 자립
3. 외국인들의 사회적 지위 향상
4. 외국인들의 문화적 이해
",외국인들의 인권 보호,31.0
"서울의 경우 구로구 가리봉동의 조선족 마을, 용산구 이태원동의 이슬람 마을, 서초구 방배동의 서래마을, 용산구 이촌동의 일본마을, 동대문구 광희동의 몽고마을 등이 대표적이다.",856,서울의 어느 지역에 이슬람 마을이 위치해 있는가?,"1. 구로구 가리봉동
2. 용산구 이태원동
3. 서초구 방배동
4. 동대문구 광희동
",용산구 이태원동,31.0
서울 외에도 경기도 안산의 국경 없는 마을과 인천의 차이나 타운 등을 들 수 있다.,857,경기도 안산에는 어떤 외국인 마을이 있는가?,"1. 국경 없는 마을
2. 차이나 타운
3. 일본마을
4. 몽고마을
",국경 없는 마을,31.0
한국의 외국인 마을 한국에 거주하는 외국인들이 늘어나면서 외국인들이 특정 지역에 모여 있는 외국인 마을도 늘어나고 있다.,858,외국인들이 한국에 거주하면서 늘어나는 현상은 무엇인가?,"1. 외국인들이 한국에서 일을 찾는 현상
2. 외국인들이 한국에서 학교를 다니는 현상
3. 외국인들이 한국에서 사업을 하는 현상
4. 외국인들이 특정 지역에 모여 있는 외국인 마을이 늘어나는 현상
",외국인들이 특정 지역에 모여 있는 외국인 마을이 늘어나는 현상,31.0
외국인 마을의 증가는 외국인들이 한국 사회에 정착하고 한국 사회가 다문화 사회로 변해가고 있음을 잘 보여준다.,859,외국인 마을의 증가가 한국 사회에 어떤 영향을 미치고 있는가?,"1. 한국 사회가 다문화 사회로 변해가고 있음
2. 한국 사회가 단일문화 사회로 변해가고 있음
3. 한국 사회가 외국인에게 불편한 사회로 변해가고 있음
4. 한국 사회가 외국인에게 친숙한 사회로 변해가고 있음
",한국 사회가 다문화 사회로 변해가고 있음,31.0
대한민국 국민의 자격은 단지 한국에 살거나 한국말을 잘하는 사람에게 주어지는 것이 아니다.,620,대한민국 국민의 자격을 얻기 위한 조건으로 옳지 않은 것은?,"1. 한국에 살고 있다
2. 한국말을 잘한다
3. 한국적인 외모를 갖고 있다
4. 대한민국의 국적을 가지고 있다
",한국에 살고 있다,32.0
국적은 한 나라의 구성원이 되는 자격을 말한다.,621,국적이란 무엇을 의미하는가?,"1. 한 나라의 구성원이 되는 자격
2. 어떤 나라에서 태어났는지
3. 어떤 나라에서 살고 있는지
4. 어떤 나라의 언어를 사용하는지
",한 나라의 구성원이 되는 자격,32.0
미국이나 캐나다에서는 태어난 장소를 중시한다.,622,미국이나 캐나다에서 국적을 얻는 기준은 무엇인가?,"1. 태어난 장소
2. 부모의 국적
3. 현재 거주하는 장소
4. 언어 사용 능력
",태어난 장소,32.0
